ms_since_push,fed_t_at_drain,kind,frame_id,is_keyframe,recording_frame,t_ns,engine_t,engine_t_hex,tx,ty,tz,qx,qy,qz,qw,body_tx,body_ty,body_tz,body_qx,body_qy,body_qz,body_qw,vx,vy,vz,bgx,bgy,bgz,bax,bay,baz
370.633,268463.422516212,1,1,1,2,268462131783166,268462.13905667001,411062b88e64df28,0.0016487043865421906,-0.023760707273611847,-0.004212715952822541,-0.045880628837512982,0.83882388486791482,0,0.54246618742326813,-0.0006521133698405646,0.0093980768983520872,0.0016662557840942769,0.38358150948574393,-0.38358150948574393,-0.56069553851723797,0.62558054434310895,-0.069088201342006106,-0.07009837339320818,0.06419462609609454,-0.0056764748765868577,0.00073351575958052512,0.0035907889374136672,0.0061276149387082144,-0.030233243670683019,0.00050333286490785681
320.619,268463.422516212,1,6,1,7,268462298466208,268462.30573971203,411062b93913d4c1,-0.012566497332785628,-0.046111627576424674,0.016383768343154505,-0.041295358518685599,0.83620843401846789,0.017247374883891275,0.54658277462182192,-0.015291865693889926,-0.013201829016342981,0.023375082811674427,0.39868811154532324,-0.37429664071815644,-0.56208841118469111,0.6204888657110591,-0.091395570075548299,-0.18475947845642418,0.20062400527465635,-0.0056763896811693696,0.00073338026455757859,0.0035908386739727676,0.0059208586668252567,-0.030421411586130206,0.00030722881608243573
274.755,268463.422516212,1,11,1,12,268462465149375,268462.47242287901,411062b9e3c2d2bd,-0.025925910808205319,-0.080197829655514669,0.054037675571717361,-0.039794140709164871,0.839207347054582,0.022912446431222644,0.54186947508218819,-0.028685616403356876,-0.047374190456100133,0.061410170854954052,0.39936111596820373,-0.36695802434014607,-0.56527048413720327,0.62154789613375716,-0.086368748510312759,-0.19666597210028214,0.23343382680962305,-0.0056762762269551726,0.00073327828802331524,0.0035908888713918306,0.0053619691902489722,-0.031042437494089935,-0.00020443040999689488
225.849,268463.422516212,1,16,1,17,268462631832458,268462.63910596207,411062ba8e71cb17,-0.037419516618221918,-0.10899224155404004,0.086460690735435636,-0.046747106783711523,0.83784455871501962,0.024792447930766404,0.5433383763154106,-0.040660441915862135,-0.076179200457055063,0.093682995710254346,0.40172914773707236,-0.36666733256181683,-0.55939035795675285,0.62550074861303206,-0.05802209452314297,-0.14325441632157507,0.13226025094424326,-0.0056762591234989692,0.00073324338080325195,0.0035908974939922616,0.0045891549386770213,-0.031991974246859407,-0.00080799687643001575
177.210,268463.422516212,1,21,1,22,268462798515500,268462.80578900402,411062bb3920c0af,-0.04522240181120156,-0.13079683769215172,0.099950395112590476,-0.055150210469074368,0.84039067702033488,0.025178175711329465,0.53857968485902785,-0.048865706350527255,-0.09796947729817003,0.10691112018717655,0.39863699555028836,-0.36302967893089022,-0.55524884398740082,0.63324301752536472,-0.055049155570262881,-0.12674572377958018,0.056927648161215108,-0.005676400262963008,0.00073340363189992376,0.0035908489295805226,0.0039741419776313991,-0.032883102168850355,-0.0012793607141403738
127.176,268463.422516212,1,26,1,27,268462965198583,268462.97247208701,411062bbe3cfb908,-0.053472884396313813,-0.15685141027490093,0.10943739148921473,-0.05705109978758427,0.83802188622901175,0.02801125786644143,0.54192242328530393,-0.057379816898476869,-0.12407039321269342,0.11647313954876043,0.40300396004659078,-0.36339006032671622,-0.55222972430856798,0.6329121612298142,-0.044705378402403503,-0.1846124272428514,0.056091914136952373,-0.0056765768754278726,0.00073352587692069747,0.0035907775102116866,0.0037432673825974179,-0.033422798434402504,-0.0015347794404661367
79.271,268463.422516212,1,31,1,32,268463215223250,268463.22249675402,411062bce3d63068,-0.051131587974674909,-0.21067466786145478,0.11890714588942915,-0.092657966769111366,0.83975162903774137,0.046496100710951033,0.53298205275021338,-0.057531828646389047,-0.17824577591294599,0.12574562805308781,0.40975292095986376,-0.34399750648647581,-0.5282749807162298,0.65931313049659024,0.022986504856832596,-0.23014324756339408,0.012770842788624876,-0.005676690087626864,0.00073352334806444774,0.0035907166305188215,0.0037506105678872812,-0.033562113808095553,-0.0015893409592269601
31.627,268463.422516212,1,36,1,37,268463381906208,268463.38917971205,411062bd8e85205e,-0.044065237429908116,-0.24615854762552114,0.11442685929955394,-0.11351663205020424,0.84162808925382182,0.057742641177196935,0.52482566079537429,-0.051888933823529319,-0.2140327956434751,0.12121558423838487,0.4119379858690167,-0.33027756176165846,-0.51485253515000673,0.67538929147904248,0.08061658170234233,-0.17600054495330769,-0.058430797408334179,-0.0056766900927590434,0.00073352335624318472,0.0035907166128882058,0.0037506105303811758,-0.033562113472474418,-0.0015893409433335507
408.643,268463.522526045,2,1,1,2,268462131783166,268462.13905667001,411062b88e64df28,0.0016487043865421906,-0.023760707273611847,-0.004212715952822541,-0.045880628837512982,0.83882388486791482,0,0.54246618742326813,-0.0006521133698405646,0.0093980768983520872,0.0016662557840942769,0.38358150948574393,-0.38358150948574393,-0.56069553851723797,0.62558054434310895,-0.07251154157013652,-0.070109133713030306,0.059583555370936382,-0.0064151501358926995,0.0020110744584729088,0.0050177215663329061,-0.0044752343138143693,-0.045312400116158488,0.00030140806810339301
358.628,268463.522526045,2,6,1,7,268462298466208,268462.30573971203,411062b93913d4c1,-0.012965344244739541,-0.045780604174934653,0.015947966658779081,-0.041455544921917109,0.83595266610760133,0.017404770209775822,0.54695676703853424,-0.015711737822957941,-0.012872925605211329,0.022941032183417968,0.39906385941155564,-0.37444979798579109,-0.56179428707635404,0.6204212793806525,-0.093687115358847634,-0.182575921187179,0.19947847745133285,-0.0064151682581032252,0.0020110039794784844,0.0050177133436682805,-0.0046944056760516205,-0.045317450128975076,0.00018600224467037559
